"EmployeeId","age","volturn","Gender","npjc","salary"
1,60,0,"Female",0,58547.32
2,61,0,"Female",0,105218
3,43,0,"Female",0,39867.54
4,46,0,"Male",0,57488.04
5,39,0,"Male",0,118057.57
6,47,0,"Male",0,85016.25
7,54,0,"Female",0,60475.53
8,47,0,"Female",0,47389.95
9,45,0,"Female",NA,88162
10,44,0,"Female",0,69040.85
11,45,0,"Male",0,75366.6
12,40,0,"Female",0,63565.28
13,39,0,"Female",0,75176.68
14,43,0,"Female",0,86011.97
15,40,0,"Male",0,85762.15
16,51,0,"Female",0,48723.41
17,37,0,"Male",NA,39048.5
18,39,0,"Male",0,73696.65
19,48,0,"Female",0,47286
20,42,0,"Male",0,65384.88
21,45,0,"Female",0,76662
22,37,1,"Female",0,46170.42
23,51,0,"Male",0,74037.95
24,37,0,"Female",0,64475.64
25,39,0,"Female",0,47747.1
26,39,0,"Male",0,81363.58
27,40,1,"Male",0,42268.24
28,39,0,"Male",1,82162
29,45,0,"Female",0,66506.96
30,46,0,"Male",0,72630.84
31,38,0,"Male",0,103072.93
32,42,0,"Male",0,43644.6
33,44,0,"Female",0,61362
34,43,0,"Male",0,86651.41
35,36,1,"Female",0,46264.23
36,42,1,"Female",0,52762.8
37,51,0,"Female",0,73262.63
38,37,0,"Female",0,58339.27
39,47,0,"Female",0,56362
40,65,0,"Male",0,98276.1
41,47,0,"Female",0,38279.4
42,38,1,"Female",0,69312
43,45,0,"Female",0,48540.92
44,40,0,"Female",0,56362
45,44,0,"Male",0,78396.34
46,45,1,"Male",0,47844.86
47,40,1,"Female",0,76662
48,34,0,"Female",0,56362
49,40,1,"Female",NA,66462
50,36,1,"Male",0,49157.5
51,36,1,"Male",0,56310.28
52,41,0,"Male",0,61772
53,35,0,"Male",0,67207.42
54,37,1,"Female",0,56030.79
55,37,0,"Female",NA,47045.03
56,34,0,"Male",0,98486.81
57,35,0,"Female",NA,37067.4
58,50,0,"Female",0,68764.56
59,41,0,"Male",0,39240.5
60,45,1,"Male",0,40101.83
61,43,0,"Male",0,111474.1
62,46,0,"Female",0,79044.47
63,33,0,"Female",0,45789.01
64,31,0,"Male",0,37005.68
65,44,0,"Male",0,42876.39
66,34,0,"Male",0,63792
67,38,1,"Male",0,65787.03
68,42,1,"Female",0,85164.61
69,34,0,"Female",0,70380.43
70,42,0,"Female",1,61871.7
71,43,0,"Female",0,76274.4
72,39,0,"Male",0,72913.73
73,45,0,"Female",0,50190.37
74,51,0,"Male",0,78838.28
75,33,0,"Female",0,62382.64
76,34,0,"Male",0,65429.43
77,34,1,"Male",0,44620.08
78,34,0,"Female",0,35032.05
79,36,1,"Male",0,37122.21
80,48,0,"Female",0,64216.33
81,32,1,"Male",0,37182.91
82,38,0,"Male",NA,44948
83,38,0,"Male",0,50895.84
84,38,1,"Male",0,57407.01
85,34,1,"Male",0,57700.44
86,36,0,"Male",0,52702.2
87,39,0,"Male",0,56362
88,36,0,"Male",0,47374.93
89,34,0,"Female",0,56362
90,31,0,"Male",0,43153.81
91,32,1,"Male",0,49604.29
92,53,0,"Male",0,56362
93,43,0,"Male",0,48871.45
94,35,0,"Female",0,53427.42
95,35,0,"Female",0,58166.38
96,37,0,"Male",0,48642
97,31,0,"Female",0,59481.62
98,31,0,"Female",0,34025.13
99,32,0,"Female",0,44613.42
100,31,0,"Male",0,56322
101,35,0,"Female",0,37093.75
102,32,0,"Female",0,43262
103,42,0,"Male",0,53586.99
104,28,1,"Male",0,32668.5
105,35,0,"Male",0,56362
106,34,1,"Female",0,57207.03
107,43,0,"Female",0,42574.14
108,40,1,"Female",NA,63341.24
109,35,0,"Male",0,92742.84
110,41,0,"Male",0,46869.66
111,36,0,"Male",NA,48652.34
112,30,0,"Female",0,58048
113,31,0,"Male",0,51662
114,39,0,"Female",0,45042
115,47,1,"Male",0,47794.56
116,31,0,"Female",0,42186
117,33,0,"Male",1,63662
118,46,0,"Male",0,63408.2
119,32,0,"Male",0,64870.8
120,46,0,"Female",0,98959.6
121,31,0,"Male",0,92562
122,30,1,"Female",0,61593.27
123,40,0,"Male",0,94232.72
124,32,0,"Male",0,43818
125,45,0,"Female",0,87711.66
126,44,0,"Male",0,47286
127,34,0,"Male",0,47042.88
128,34,0,"Male",0,50370.36
129,39,0,"Male",0,84059.86
130,36,0,"Female",0,46066.5
131,60,0,"Male",0,115447.5
132,63,0,"Female",0,44162
133,49,0,"Female",0,83386
134,58,0,"Female",1,66407.03
135,53,0,"Female",0,48884.38
136,56,0,"Female",0,50851.28
137,49,0,"Female",0,85080.1
138,64,1,"Male",0,63020.36
139,45,0,"Female",0,64261.04
140,55,0,"Female",0,48042
141,64,0,"Male",0,72254.8
142,59,0,"Male",0,85931.94
143,52,0,"Male",0,83356.97
144,52,0,"Female",0,49632.74
145,52,0,"Male",0,72254.8
146,52,0,"Male",0,72254.8
147,51,0,"Female",0,63930.64
148,50,0,"Male",0,72254.8
149,53,0,"Male",0,72254.8
150,48,0,"Male",0,72254.8
151,67,1,"Male",0,65203.6
152,61,0,"Male",0,65203.6
153,45,0,"Male",0,72254.8
154,47,0,"Female",0,65081.97
155,45,0,"Male",0,72254.8
156,46,0,"Male",0,72254.8
157,48,0,"Female",0,70401.03
158,48,0,"Male",0,72254.8
159,55,0,"Male",0,70436.39
160,55,0,"Male",0,64991.72
161,63,0,"Male",0,78928.11
162,46,0,"Female",0,41412
163,58,0,"Male",0,54326.28
164,57,0,"Female",0,65946.65
165,57,0,"Male",0,66757.8
166,59,0,"Male",0,103716.38
167,52,0,"Female",0,61201.83
168,46,0,"Male",0,47419.6
169,50,0,"Female",0,80504.61
170,61,0,"Female",0,86021
171,61,0,"Female",0,55562
172,58,1,"Male",0,71428.05
173,51,0,"Male",0,71799.71
174,43,0,"Female",0,71870.99
175,44,0,"Male",0,111662
176,48,0,"Female",0,88242.26
177,53,0,"Male",0,75857.85
178,50,0,"Male",0,102552.95
179,46,0,"Male",0,36162
180,49,0,"Male",0,79227.93
181,58,0,"Male",0,68198.56
182,44,0,"Female",0,44309.16
183,58,1,"Female",0,48458.15
184,63,0,"Male",0,24162
185,66,1,"Male",0,66799.06
186,61,0,"Male",0,64809.77
187,49,0,"Male",0,64411.16
188,52,0,"Male",0,76741.06
189,60,0,"Female",0,70706.55
190,50,0,"Male",0,65176.78
191,50,0,"Male",0,62139.28
192,60,0,"Female",0,55218.2
193,56,0,"Male",0,66840.37
194,57,0,"Male",0,81037.58
195,56,0,"Male",0,62297.19
196,55,0,"Male",0,77110.52
197,55,0,"Male",0,66840.37
198,56,0,"Male",0,73431.84
199,52,0,"Female",0,81050.99
200,50,0,"Female",0,46841.61
201,43,0,"Male",0,58304.76
202,58,0,"Female",0,84833.69
203,57,0,"Male",0,73459.5
204,56,0,"Female",0,70207.77
205,54,0,"Female",0,63118.47
206,60,0,"Male",0,58596.9
207,59,0,"Male",0,91012.52
208,54,0,"Male",0,75504.97
209,52,0,"Male",0,81762
210,42,0,"Female",0,48410.19
211,42,0,"Female",0,107323.2
212,42,0,"Male",1,99467.75
213,44,0,"Male",0,90540.84
214,41,0,"Male",0,70116.83
215,43,0,"Male",0,69732.08
216,39,0,"Female",0,81897.66
217,45,0,"Male",0,101067.08
218,43,0,"Male",0,86962.57
219,52,0,"Male",0,42162
220,54,0,"Male",NA,95162
221,55,0,"Male",0,68439.89
222,60,0,"Male",0,92031.36
223,61,0,"Female",0,63711.59
224,56,0,"Male",0,71101.67
225,50,0,"Male",0,70095.83
226,54,0,"Male",0,85473.61
227,56,0,"Male",0,36162
228,53,0,"Male",0,103054.26
229,55,0,"Male",0,82753.74
230,48,0,"Male",0,99203.14
231,59,0,"Male",0,64895.69
232,55,0,"Male",0,67807.74
233,60,1,"Male",0,36162
234,55,0,"Male",0,42162
235,64,0,"Male",0,77859.6
236,53,0,"Female",0,66179.94
237,47,0,"Male",0,108162
238,57,0,"Female",0,67337.74
239,47,0,"Male",0,82950.39
240,57,0,"Male",NA,66508.47
241,48,0,"Male",0,82119.02
242,46,0,"Female",0,48070.87
243,50,0,"Female",0,43800.4
244,52,0,"Male",0,82162
245,46,0,"Female",1,93563.91
246,66,1,"Male",0,61642.57
247,46,0,"Female",0,60378.29
248,58,0,"Male",0,128407.75
249,64,0,"Female",0,48977.57
250,53,0,"Male",0,21728.27
251,46,0,"Female",0,50510.65
252,55,0,"Male",0,68719.32
253,48,0,"Male",0,20870.03
254,46,0,"Female",0,55562
255,46,0,"Female",0,51296.2
256,50,0,"Male",0,75010.1
257,65,0,"Female",0,47339.97
258,45,0,"Male",0,52692.23
259,45,0,"Male",0,69063
260,51,0,"Male",0,23162
261,67,1,"Male",0,36162
262,50,0,"Female",0,65351.32
